,stemmed_tokens
370,"['masutk', 'genshin', 'impact', 'pc', 'keren']"
371,"['cs-go', 'online', 'dota', '2', 'support', 'nih', 'jamin', 'patah', 'patah']"
372,"['kakak', 'ajak', 'berat', 'editing', 'lai', 'kira', 'pc', 'cocok', 'kakak']"
373,"['bang', 'instalin', 'game', 'pakai', 'programming']"
374,"['makan', 'cities', 'skylines', 'bagus']"
375,"['kak untuk', 'gaming', 'office', 'ganggu', 'lag']"
376,"['windows-', 'versi', '64bit']"
377,"['mas', 'beli', 'upgrade', 'ssd', '512', 'hdd', '1tb', '', 'pasang', 'mas', 'kirim', 'pakai', 'terima', 'kasih', 'mas']"
378,"['kirim', 'semrang', 'rekomen', 'packing', 'pakai', 'kayu', 'kak']"
379,"['pasang', '2', 'monitor', 'kak']"
380,"['i7', 'gen', 'iya']"
381,"['pesan', 'nama', 'tantia', 'kurniawati', 'kirim', 'urgent', 'thanks']"
382,"['min', 'pakai', 'packing', 'kayu', 'ongkir', 'packing', 'kayu', 'pc', 'gabung', '1', 'doang']"
383,"['game', 'aga', 'berat', 'kak']"
384,"['kak', 'v16', 'vesta', '16gb', 'makan', 'genshin', 'medium', '', 'recording', 'fps', 'kak']"
385,"['kak', 'streaming', 'makan', 'valorant', 'apex', 'kuat', 'kak']"
386,"['beda', 'pc', 'fullset', '19', 'pc', 'fullset', '24']"
387,"['tambun-bekasi', 'pakai', 'bubble', 'wrap', 'kah']"
388,"['vs', 'vesta', '8', 'fullset', 'ready', 'gan']"
389,"['kirim', 'jawa', 'timur', 'pakai', 'packing', 'kayu', 'kah']"
390,"['maaf', 'bantu', 'jual', 'pc', '']"
391,"['vga', 'hd', 'beda']"
392,"['makan', 'minecraft', 'java', 'edition editing', 'kuat', 'gan']"
393,"['halo', 'gan', 'etalase', 'harga', 'full', 'set']"
394,"['', 'spek', 'v16', 'vesta', '16', 'ready', 'gan']"
395,"['min', 'kirim', 'sulut', 'tambah', 'packing', 'kayu', 'kah', 'packing', 'kayu', 'berapa']"
396,"['makan', 'gta']"
397,"['kak', 'v0', 'vesta', 'vga', 'hd', 'makan', 'gensin']"
398,"['kak', 'jakarta', 'timur', 'pakai', 'packing', 'kayu', 'aman']"
399,"['sakalian', 'instal', 'game']"
400,"['main', 'rdr', '2', 'kuat', 'kah', 'kak']"
401,"['monitor', 'kah']"
